grupo,n_filas,co2_real_medio,co2_pred_medio,mae,rmse,r2,error_relativo_pct
HUSQVARNA-CAGIVA,697,78.23420659971305,77.97308349609375,8.483752427220175,11.36864028882633,0.4964831240513389,10.844044818690975
MITSUBISHI,5316,141.6811211437171,137.845703125,8.251382503179432,13.532500409822696,0.8902971747162081,5.823911073381101
SUZUKI,6454,112.93033328168576,109.27510070800781,8.170963795399791,18.771989902286563,0.6742310598214342,7.235402179340686
KAWASAKI,4798,112.22906106711127,107.77123260498047,8.024739453505358,17.303344392376257,0.5807631307786323,7.1503221867878635
VOLVO,8148,134.7958885616102,135.07337951660156,7.840798478086731,13.684672101398869,0.8660834186831277,5.816793495524896
JAGUAR,1066,152.46060037523452,151.8164825439453,7.817148960106368,14.87567228703095,0.8339244871534975,5.127324004278403
ALFA ROMEO,1130,130.2017699115044,129.65846252441406,7.4974018974641785,11.924607057268204,0.8142892526591129,5.758294916082949
RIEJU,1179,63.836452926208665,58.99994659423828,7.265070673508196,13.189958392260914,-0.01496122646950604,11.380755572221732
MACBOR,777,59.4015444015444,63.30508041381836,7.111523784112133,9.275438568234701,0.8007900414525384,11.971950991777982
SMART,1623,101.51595810227973,104.41805267333984,7.093054097211442,9.24498330085851,0.08430077595760799,6.987132101994272
MAZDA,10045,132.15981085116974,131.92137145996094,6.818867806282252,9.972300989679402,0.7939344140782678,5.159562322589309
MINI,6614,123.45792107650439,124.56629180908203,6.817837732878559,9.885220454527532,0.8422088703211795,5.522397974491796
PIAGGIO,6287,67.35791569906156,61.73505401611328,6.812135526613114,19.048424835935748,0.23903558013361903,10.113340734959857
FIAT,18810,131.36538569909624,129.8212432861328,6.7886662954586985,15.614250579046344,0.7260761903850367,5.1677740367685026
KYMCO,8973,72.66540844756491,67.65831756591797,6.72543472924334,31.880815931544863,0.6559621620505374,9.255345662986796
MOTRON MOTORRAD,108,60.81481481481482,55.79104232788086,6.526629483258283,8.574566511899615,-0.22156041073993094,10.731972962726774
MITT,278,64.88848920863309,61.68356704711914,6.4859337841006495,23.516986722848806,0.803526961638969,9.995507467043522
BMW,31875,127.4083588392157,126.81297302246094,6.481206293839039,12.454119299560432,0.8557282314134733,5.086955324507448
BENELLI,1109,75.03463480613163,77.3944320678711,6.475566402397466,8.878840617496198,0.8739724442857273,8.630103177190781
AUDI,30093,131.25389625494302,130.5995635986328,6.350568143312008,9.971901766234478,0.8971213604718351,4.838384478108661
NISSAN,30892,130.97751845137898,129.9348907470703,6.2665298725677925,11.840688655018552,0.8258926438436377,4.784431669389149
LEXUS,2957,112.85456543794386,115.00236511230469,6.226778253962311,10.411588856906182,0.8628025425964916,5.5175244615037515
FORD,42622,130.6371329360424,129.60687255859375,6.187655029085653,12.511259474393132,0.8725241576429201,4.736520842136835
YAMAHA,16407,78.07090394343878,75.89031982421875,5.947606378933466,14.889043079569637,0.7320320699387602,7.6182112394169526
BRIXTON,194,60.805154639175264,55.81245803833008,5.9443121212044945,7.16870291521973,0.4083981598764119,9.776000334969497
OPEL,32920,124.43654070473876,124.56097412109375,5.82175456566886,11.233598778956425,0.7686768777982042,4.678492774467779
