grupo,n_filas,co2_real_medio,co2_pred_medio,mae,rmse,r2,error_relativo_pct
UH125,221,67.68325791855203,59.691593170166016,8.009554780985974,12.429283104630247,-2.241758616963956,11.833878904919779
DISCOVERY SPORT,474,142.1772151898734,146.96331787109375,7.979340525116095,10.032357846698716,0.8462391306834458,5.6122498351511
TOYOTA HILUX,937,213.59946638207046,214.45187377929688,7.872674446553787,11.133360495061236,0.8767195932316969,3.6857182182617185
FIAT 500L,474,130.68143459915612,128.26083374023438,7.855421444534753,8.898984441605323,0.757093972613518,6.011122749478509
VENGA,209,130.79904306220095,124.22410583496094,7.840517472992674,8.71149761542164,0.5070772938852377,5.994323268301089
LAGUNA,254,127.45669291338582,130.48597717285156,7.822708370178703,11.113656430568215,0.5462550074077791,6.137542243854298
YETI,512,136.185546875,128.5680694580078,7.81163564324379,10.91064163533261,0.23118598263814305,5.73602399262957
TIVOLI,455,146.99186813186813,144.0226593017578,7.808322992010432,9.486737599209947,0.7569240727412263,5.312078206262059
TOURNEO CUSTOM,205,181.0390243902439,183.3214569091797,7.790282849567692,9.14390833060781,0.9311751082295354,4.303095907529375
HONDA CR-V,622,134.34887459807075,132.90159606933594,7.772055843635387,10.771900480906151,0.8098002880348062,5.7849802366316165
AGILITY S,167,50.0,57.76099395751953,7.760982696167723,7.760988483591629,0.0,15.521965392335446
FIAT DOBLO,866,141.26558891454965,136.60267639160156,7.729033067099767,11.049064702601031,0.1897446010425643,5.471277985309637
RANGE ROVER EVOQUE,1761,139.29415105053945,142.552490234375,7.720582742165734,10.048147101348079,0.8402413432767766,5.542646754323885
CAYENNE E-HYBRID,107,58.8811214953271,64.12274169921875,7.614479504166362,20.317355884075553,-0.15441206651725792,12.931953928171458
CADDY,2823,134.2943676939426,132.1762237548828,7.604094230659963,11.220865895566964,0.6628640806092709,5.662258485768907
INSIGNIA GRAND SPORT,225,124.64888888888889,120.34791564941406,7.595333014594184,10.25999564744437,0.4474244685003126,6.093382044796732
ALFA GIULIETTA,302,120.85761589403974,119.3611831665039,7.5463954344490505,10.925637464612393,0.7172599434451736,6.244037976940774
